Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n
6.764, 0.768575, -0.105764, 0.579661, 0.00112828, 0.00387722, 0.999992, 9.03241e-05, 0.767977, -0.106151, 0.579464, -2.54952e-05, 4.21929e-07, 1, -2.68656e-06, 
6.864, 0.774644, -0.11039, 0.579538, 0.00101996, 0.00398621, 0.999992, 6.3941e-05, 0.774121, -0.110751, 0.579464, -2.58663e-05, 4.27484e-07, 1, -2.55703e-06, 
6.964, 0.780617, -0.114978, 0.579563, 0.00102157, 0.00391003, 0.999992, 4.64081e-05, 0.78017, -0.115611, 0.579464, -2.61502e-05, 4.3133e-07, 1, -2.40854e-06, 
7.064, 0.786505, -0.120076, 0.579541, 0.000994212, 0.00393262, 0.999992, 3.31821e-05, 0.786098, -0.120711, 0.579464, -2.6347e-05, 4.33672e-07, 1, -2.24334e-06, 
7.164, 0.792551, -0.125562, 0.579594, 0.00105639, 0.00407776, 0.999991, 2.83021e-05, 0.791884, -0.126032, 0.579464, -2.64567e-05, 4.3444e-07, 1, -2.06398e-06, 
7.264, 0.79817, -0.13112, 0.579602, 0.00106998, 0.00404954, 0.999991, 1.37506e-05, 0.797503, -0.131551, 0.579464, -2.64796e-05, 4.34088e-07, 1, -1.87313e-06, 
7.364, 0.803692, -0.136791, 0.579689, 0.00116239, 0.00401229, 0.999991, 1.2051e-05, 0.802935, -0.137249, 0.579464, -2.6416e-05, 4.32102e-07, 1, -1.6736e-06, 
7.464, 0.809015, -0.142643, 0.579681, 0.00111904, 0.00379346, 0.999992, -8.81687e-06, 0.808157, -0.143101, 0.579464, -2.62664e-05, 4.28489e-07, 1, -1.46824e-06, 
7.564, 0.813959, -0.14867, 0.579718, 0.0011207, 0.00367814, 0.999993, -2.49452e-05, 0.81315, -0.149085, 0.579464, -2.60312e-05, 4.238e-07, 1, -1.2598e-06, 
7.664, 0.818677, -0.154791, 0.579707, 0.00108403, 0.00362025, 0.999993, -4.06099e-05, 0.817892, -0.155177, 0.579464, -2.57112e-05, 4.17698e-07, 1, -1.05119e-06, 
7.764, 0.823134, -0.160997, 0.579708, 0.00106994, 0.00349451, 0.999993, -5.36055e-05, 0.822367, -0.161354, 0.579464, -2.53073e-05, 4.0985e-07, 1, -8.45189e-07, 
7.864, 0.827171, -0.167306, 0.57975, 0.00109767, 0.0035128, 0.999993, -6.77478e-05, 0.826555, -0.16759, 0.579464, -2.48203e-05, 4.01088e-07, 1, -6.44184e-07, 
7.964, 0.830949, -0.173602, 0.579635, 0.000936104, 0.00336012, 0.999994, -8.67327e-05, 0.830441, -0.173862, 0.579464, -2.42514e-05, 3.90889e-07, 1, -4.50776e-07, 
8.064, 0.834579, -0.179945, 0.579704, 0.00102651, 0.00327581, 0.999994, -9.3751e-05, 0.834009, -0.180144, 0.579464, -2.36019e-05, 3.79212e-07, 1, -2.6734e-07, 
8.164, 0.837824, -0.186194, 0.579691, 0.00100172, 0.00313523, 0.999995, -0.000104486, 0.837246, -0.186412, 0.579464, -2.28733e-05, 3.66558e-07, 1, -9.5414e-08, 
8.264, 0.840771, -0.19246, 0.579762, 0.00106667, 0.0030066, 0.999995, -0.000119413, 0.840137, -0.19264, 0.579464, -2.20672e-05, 3.52586e-07, 1, 6.2336e-08, 
8.364, 0.843345, -0.198589, 0.57971, 0.000944528, 0.00280689, 0.999996, -0.000128579, 0.842673, -0.198805, 0.579464, -2.11855e-05, 3.37381e-07, 1, 2.04925e-07, 
8.464, 0.845413, -0.204703, 0.579654, 0.000816492, 0.00264217, 0.999996, -0.000133293, 0.844842, -0.204882, 0.579464, -2.02305e-05, 3.21111e-07, 1, 3.30776e-07, 
8.564, 0.847326, -0.210609, 0.579763, 0.000948207, 0.00249037, 0.999996, -0.000148854, 0.846637, -0.210846, 0.579464, -1.92044e-05, 3.03743e-07, 1, 4.38573e-07, 
8.664, 0.848788, -0.216237, 0.579753, 0.000883965, 0.00226657, 0.999997, -0.000152091, 0.84805, -0.216676, 0.579464, -1.811e-05, 2.85514e-07, 1, 5.27625e-07, 
8.764, 0.849709, -0.221927, 0.579687, 0.000752405, 0.00217857, 0.999997, -0.000153414, 0.849075, -0.222346, 0.579464, -1.69502e-05, 2.66195e-07, 1, 5.96745e-07, 
8.864, 0.850327, -0.22741, 0.579685, 0.000735876, 0.00205528, 0.999998, -0.000157739, 0.84971, -0.227836, 0.579464, -1.57282e-05, 2.46264e-07, 1, 6.45648e-07, 
8.964, 0.85052, -0.232748, 0.579752, 0.000799465, 0.00197021, 0.999998, -0.000168959, 0.84995, -0.233123, 0.579464, -1.44474e-05, 2.25742e-07, 1, 6.73526e-07, 
9.064, 0.850184, -0.238017, 0.579732, 0.000743784, 0.00185632, 0.999998, -0.000175096, 0.849796, -0.238187, 0.579464, -1.31116e-05, 2.04179e-07, 1, 6.80067e-07, 
9.164, 0.849626, -0.24282, 0.579732, 0.000722502, 0.00169572, 0.999998, -0.00017575, 0.849248, -0.243007, 0.579464, -1.17248e-05, 1.82044e-07, 1, 6.64753e-07, 
9.264, 0.848626, -0.247431, 0.579711, 0.00067, 0.00161688, 0.999998, -0.000177622, 0.848307, -0.247565, 0.579464, -1.02914e-05, 1.59536e-07, 1, 6.27178e-07, 
9.364, 0.847239, -0.25171, 0.579663, 0.000598072, 0.00152201, 0.999999, -0.000175166, 0.846978, -0.251843, 0.579464, -8.81612e-06, 1.36164e-07, 1, 5.66905e-07, 
9.464, 0.845501, -0.25569, 0.579576, 0.000363776, 0.00129779, 0.999999, -0.000150036, 0.845267, -0.255823, 0.579464, -7.30375e-06, 1.12748e-07, 1, 4.8337e-07, 
9.564, 0.843588, -0.259473, 0.579434, 0.000118282, 0.00119011, 0.999999, -0.000121329, 0.843178, -0.25949, 0.579464, -5.75954e-06, 8.9096e-08, 1, 3.76273e-07, 
9.664, 0.840977, -0.262702, 0.579299, -0.000503244, 0.00112232, 0.999999, -3.27402e-05, 0.840722, -0.262829, 0.579464, -4.18891e-06, 6.60123e-08, 1, 2.44964e-07, 
9.764, 0.837925, -0.265633, 0.579292, -0.000909848, 0.00104847, 0.999999, 2.58023e-05, 0.837908, -0.265828, 0.579464, -2.59751e-06, 4.08085e-08, 1, 8.92516e-08, 
9.864, 0.834469, -0.268266, 0.579383, -0.00117981, 0.000926503, 0.999999, 7.08545e-05, 0.834746, -0.268474, 0.579464, -9.91179e-07, 1.82501e-08, 1, -9.12506e-08, 
9.964, 0.830807, -0.270485, 0.57935, -0.00140853, 0.000774356, 0.999999, 0.000116072, 0.831249, -0.270757, 0.579464, 6.21644e-07, -0, 1, -3.05247e-07, 
10.064, 0.82685, -0.272428, 0.57941, -0.00152398, 0.000688784, 0.999999, 0.00013698, 0.827432, -0.272668, 0.579464, 2.24016e-06, -2.8856e-08, 1, -5.36442e-07, 
10.164, 0.822642, -0.27391, 0.579405, -0.00162061, 0.000542693, 0.999999, 0.000161496, 0.823308, -0.2742, 0.579464, 3.85502e-06, -5.21541e-08, 1, -7.86328e-07, 
10.264, 0.818068, -0.275068, 0.579425, -0.00169895, 0.000494933, 0.999998, 0.000178632, 0.818895, -0.275346, 0.579464, 5.46038e-06, -7.52472e-08, 1, -1.05836e-06, 
10.364, 0.813282, -0.275839, 0.579438, -0.00173069, 0.000425241, 0.999998, 0.000187934, 0.81421, -0.276102, 0.579464, 7.05028e-06, -9.85619e-08, 1, -1.35122e-06, 
